round_accuracy,total_accuracy,response_time,presentation_time_interval,flash_number
1,0.5,6,1500,6
1,0.75,4,1500,3
1,0.875,5,1500,5
0.9166666666666666,0.8958333333333333,8,1500,6
1,0.9479166666666666,7,2000,4
1,0.9739583333333333,7,2000,4
1,0.9869791666666666,7,1000,3
1,0.9934895833333333,7,2000,5
1,0.9967447916666666,9,1000,7
1.1,1.0483723958333333,7,1500,5
1,1.0241861979166667,4,2000,3
0.625,0.8245930989583333,5,1000,4
1,0.9122965494791666,5,1000,5
1.125,1.0186482747395833,11,1500,4
1,1.0093241373697917,5,2000,5
1,1.0046620686848957,12,1500,5
0.8333333333333334,0.9189977010091146,9,1500,6
0.9,0.9094988505045574,6,2000,5
0.9166666666666666,0.913082758585612,10,1500,6
1,0.956541379292806,6,2000,4
1,0.9782706896464031,10,1500,5
1.1666666666666667,1.072468678156535,7,1000,3
1,1.0362343390782676,6,2000,3
1,1.0181171695391338,7,1500,3
1,1.009058584769567,4,1500,4
1,1.0045292923847835,5,2000,5
1,1.0022646461923919,7,2000,3
1,1.001132323096196,4,1000,3
1,1.000566161548098,3,2000,3
0.7,0.850283080774049,10,2000,5
1,0.9251415403870245,4,1500,3
1,0.9625707701935122,7,1500,4
1,0.9812853850967561,6,2000,3
0.7142857142857143,0.8477855496912352,8,1500,7
